image_id,caption
KSU24,"A painting of a rural landscape featuring two thatched-roof cottages with white walls, set in a green field. A dirt path leads to the houses, with a birch tree and other trees in the background. A small figure stands near the house. The sky is light and cloudy. The painting has visible signs of age and damage, including cracks and paint wear. There is a signature in the lower right corner and a watermark in the lower left corner."
KSU25,"This is an oil painting on canvas depicting a rural scene. In the foreground, a woman in a white shirt and red skirt bends over a wooden trough, feeding chickens. A young boy stands nearby. To the left is a well with a bucket hanging from a wooden pole. In the background, two houses with thatched roofs are visible, surrounded by trees and a wooden fence. The sky is pale and overcast. The painting shows signs of age, including cracks and wear. There is a watermark in the lower-left corner that reads ""Сушия КОЛЕВСЬЯ""."
KSU3,"This is a painting of a rural landscape. In the foreground, a river with two swans swims. A wooden bridge crosses the river, with a woman in a red skirt standing on it. A horse-drawn cart is on the path. Several houses with thatched roofs are scattered across the field. In the background, a church with blue domes is visible. The sky is blue with white clouds. The painting is in a dark frame. There is a watermark in the lower right corner that says ""Сушия колекция""."
KSU4,"A portrait of an elderly man with a white beard and mustache, wearing a dark fur hat and a dark coat. He is looking directly at the viewer. The background is a plain, textured grey. There is a watermark in the lower-left corner that reads ""Сулия колекція"" in Cyrillic script. The painting shows signs of age and wear, including visible brushstrokes and some damage."
KSU5,"This is an oil painting on canvas depicting a forest scene. The painting shows numerous birch trees with white bark and dark markings, their branches reaching upwards. The trees are in the foreground and middle ground, with some leaves falling onto the ground and a small stream or pond in the lower part of the painting. The background shows a distant landscape with more trees and a pale sky. The painting has a warm, autumnal color palette. There is a watermark in the lower right corner that reads ""Сушица КОЛЕКЦІЯ"" in Cyrillic script. The painting appears to be in good condition with no visible damage."
KSU6,"A portrait of a bald man with a mustache, wearing a light-colored shirt with dark embroidery and a dark cloak draped over his shoulder. He is seated at a table with a quill pen, inkwell, and a book. The background is a textured, brownish wall. A watermark in Cyrillic script is visible in the lower-left corner. The painting appears to be oil on canvas, with visible brushstrokes."
KSU7,"A portrait of a balding man with a prominent mustache, wearing a dark coat over a brown shirt. He is looking directly at the viewer. The background is a textured, dark olive green. There is a watermark in the lower-left corner that reads ""Сушия"" and ""колекція"" in a cursive script. The painting appears to be oil on canvas, showing signs of age and wear."
KSU8,"A painting depicting a rural landscape with a small house, a thatched roof, and a wooden fence. The house is surrounded by green fields with hay bales, trees, and a body of water with swans. The sky is painted with soft, wavy clouds. The painting is in a dark red frame. There is a watermark in the bottom right corner that reads ""Сушица КОЛЕКЦІЯ"". The painting shows signs of age and wear."
KSU9,"A painting depicts a rural scene with three figures. A man in a red coat and black hat sits on a black horse, holding a sword. A woman in a blue and red dress stands nearby, covering her face. An older man in a light blue shirt and dark trousers stands to the left, looking up at the man on the horse. The background shows a village with thatched-roof houses and trees. The sky is pink and blue. Text in the lower right corner reads: ""Виде коня за поводи та плache Ярина; старий батько іде рядом, наставляє сина."" A watermark ""Сушия колекция"" is in the lower left. The painting shows visible signs of age and wear."
KYD1241,"A painted religious portrait of Jesus Christ with long dark hair and a beard, wearing a dark robe with a red garment over it. He has a golden halo above his head and is holding his chest where a golden heart with a cross is depicted. The background is a blue sky with a yellow halo. The painting shows visible signs of age and wear, including cracks and paint damage. There is a small red mark on the left hand and a white bandage on the right hand."
KYD1242,"A painted religious portrait of a woman with a halo, wearing a red garment with a heart symbol on her chest, holding flowers. She has dark hair and a white veil. She is holding a bouquet of white and red flowers. The background is blue. There is a yellow halo above her head. The painting appears to be on a textured surface with visible signs of age and wear."
KYD1243,"A weathered, dark wooden surface with a large, faded green cross painted on it. The cross has a red outline and is set against a dark, textured background with visible cracks, peeling paint, and small patches of yellow and brown. The surface shows signs of age and damage. There is faint, illegible text at the bottom."
KYD1244,"This is a damaged, aged religious icon depicting the Resurrection of Christ. The central figure is Jesus Christ, standing with a large wooden cross. To his left is a woman in a green and red robe with a crown, and to his right is a man in a dark robe and crown, holding a staff. Another man in a green and red robe stands to the right of the central figure. The background is dark blue with radiating lines. The icon has visible cracks and paint damage. Text in Cyrillic script is visible at the top: ""ВОЗВЕДЕНІЕ, КРЕСТ"" (Resurrection, Cross) on the left and ""ГОСПОДАНА"" (Lord) on the right."
KYD1245,"This is a damaged, painted icon depicting two figures. On the left, a woman in a red hood and dark robe holds a child with a halo. On the right, a man in a dark robe and a red, patterned hat holds a book. Both figures have halos. The background is dark red with visible cracks and paint damage. There is gold text in the upper right corner, but it is illegible. The icon is in a vertical format."
KYD1246,"A religious icon depicting a woman in a red robe with a hood, holding a child. The woman has a solemn expression and is holding a plant with flowers. The child is holding a cross. The background is dark and textured. There is text at the bottom of the image. The icon appears to be old and damaged."
KYD1247,"A wooden icon of a woman with dark hair, a yellow halo, and a green robe. She holds a small golden cross in her right hand and a bundle of grass in her left. She wears a pearl necklace and a cross earring. The background is a dark red, weathered wood with visible cracks and damage. The top of the icon has some faded Greek text."
KYD1248,"This is a vertical oil painting on canvas depicting a landscape. The scene features a river with a small island in the foreground, where two birch trees stand. One tree has white bark with black markings, and the other has sparse, yellowish leaves. A figure in dark clothing stands on the right side of the painting. The background shows green hills and a distant forest. The sky is light with some blue and white. There is text at the bottom right: ""ЕТНОГРАФІЧНА КОЛЕКЦІЯ КРОВЕЦЬ krovets.com.ua"". The painting shows visible signs of age and wear."
KYD1249,"This is a painted folk art scene depicting three figures in a rural setting. A man in a red coat and black hat sits on a dark horse, holding a rifle. To his left, a man in a white shirt and blue pants stands, looking up. To the right, a woman in a blue and red embroidered dress stands with her hand on her face. In the background, there are houses with green roofs and a church with golden domes. The painting shows signs of age and damage. Text in Ukrainian is visible at the bottom."
KYD1250,"A painted mural depicts a rural village scene. A man in a red coat and black hat stands beside a white horse with red and green decorations. A woman in a red and white dress stands near a water pump. The background features thatched-roof houses, green trees, and a pond with swans. The sky is blue with birds. A watermark ""ЕТНОГРАФИЧНА КОЛЕКЦІЯ КРОВЕЦЬ kroves.com.ua"" is visible in the lower-left corner."
KYD1251,"A painting depicting a group of people in traditional folk attire by a river. A man in a boat plays a lute, another holds a long pole. Several women and a child are gathered on the bank, some sitting, one cooking. Trees and hills are in the background under a cloudy sky. The painting is on wood with visible grain and some damage. Text in the lower left corner reads ""ЕТНОГРАФИЧНА КОЛЕКЦІЯ КРОВЕЦЬ krovets.com.ua""."
KYD1252,"A painted portrait of a woman in traditional attire, sitting on a wooden chair outdoors. She wears a blue dress with white sleeves embroidered with red patterns, a dark blue vest, and a floral headpiece. She is adorned with multiple necklaces. The background features a garden with roses, a vase, and a cloudy sky. The painting has a red border and visible signs of aging and damage. A watermark at the bottom reads ""ЕТНОГРАФІЧНА КОЛЕКЦІЯ КРОВЕЦЬ krovets.com.ua""."
KYD1253,"A painting of a lakeside village scene. Several houses with brown roofs are on the shore, surrounded by trees. A wooden dock extends into the water. Several white swans are swimming in the lake. The water is blue and reflects the sky. A hill with trees and a church with golden domes is visible in the background. The sky is light blue and white. There is a watermark in the bottom right corner that reads ""ЕТНОГРАФІЧНА КОЛЕКЦІЯ КРОВЕЦЬ krovets.com.ua"". The painting appears to be on wood and shows signs of age and wear."
KYD1254,"A painted portrait of a man and a woman in traditional attire, surrounded by flowers. The man wears a black hat and a dark jacket over a white shirt with a red tie. The woman wears a floral headband, a dark vest over a white blouse with embroidery, and a heavy necklace of silver coins. They are set against a dark, textured background with painted flowers in the foreground. A watermark is visible in the bottom right corner."
KYD1255,"A portrait of an elderly woman in traditional rural attire, seated on a wooden stool in a garden setting. She wears a brown vest over a white blouse with blue floral embroidery, a blue skirt, and dark boots. A red ribbon is tied in her hair. Behind her, a cow is drinking from a wooden trough. A small white house is visible in the background, surrounded by trees and greenery. The painting shows signs of age and wear. A watermark at the bottom reads ""ЕТНОГРАФІЧНА КОЛЕКЦІЯ КРОВЕЦЬ krovets.com.ua""."
KYD1256,"A portrait of a bald man with a long, grey mustache, wearing a dark coat over a blue shirt and a brown sash. The background is a textured, dark grey. The painting shows visible signs of age and wear, including cracks and fading. Text at the bottom reads ""1814-1861 2. 14. НИСЕСТЕНКО 1925 2 К"" and a watermark ""ЕТНОГРАФІЧНА КОЛЕКЦІЯ КРОВЕЦЬ krovets.com.ua""."
KYD1257,"This is a damaged, aged painting depicting a scene with several figures. On the right, a portrait of a man in a dark hat and coat is visible. Below the portrait, the text ""Т.Г. ШЕВЧЕНКО"" and ""УЧІТЕ СЯ БРАТИ МОЇ ДУМАЙТЕ ЧИТАЙТЕ....!"" is written. In the center, two figures are seated by a fire, one playing a stringed instrument. In the background, a man on a white horse stands near a body of water. A woman in a white shirt and red skirt is on the left. The painting has a textured, peeling surface. In the bottom right corner, there is a logo and text ""ЕТНОГРАФІЧНА КОЛЕКЦІЯ КРОВЕЦЬ krovets.com.ua""."
KYD1258,"A painted portrait of a man in a dark, double-breasted military uniform with gold trim and buttons. He has short brown hair, a mustache, and is looking directly at the viewer. The background is a textured, muted blue and beige wall. There is a watermark in the bottom right corner that reads ""ЕТНОГРАФІЧНА КОЛЕКЦІЯ КРОВЕЦЬ krovets.com.ua"". The painting shows signs of age and wear."
KYD1259,"A painted portrait of a woman with dark hair, wearing a floral headband, a dark blue vest, and a white embroidered blouse. She wears a multi-layered necklace with beads. The background is a weathered, textured wall with a small window. A watermark is visible at the bottom right."
KYD1260,"A painted religious icon of a woman, likely a saint, wearing a crown and a dark green robe with a red cloak. She holds a golden chalice in her left hand and a flower in her right. She has long dark hair and a white collar. The background is a muted, textured brown. There is text at the top in Cyrillic script, and a watermark at the bottom right. The image shows signs of age and damage."
KYD1261,"This is a damaged, circular wooden icon depicting a bearded man with a white halo, holding a staff and a dove. He wears a green and red robe. Below him are two small, painted heads. The icon has visible wood grain and cracks. The background is dark with green foliage. There is text in Ukrainian at the bottom: ""ЕТНОГРАФІЧНА КОЛЕКЦІЯ КРОВЕЦЬ"" and a website address. The icon is in a circular frame with a gold border."
KYD1264,"This is a damaged, two-part icon of the Virgin Mary holding the infant Jesus. The Virgin wears a red veil and a blue garment, with a gold necklace. The child is dressed in white and green. The background is a gold field with visible cracks and damage. Above the Virgin, the Greek letters ""ΜΡ"" (Mary) and ""ΧΡ"" (Christ) are visible. The icon is split into two panels, with the right panel showing a visible crack. The left panel shows the Virgin's hands and the child's hands. The icon is painted on wood, with visible wood grain and damage."
KYD1265,"A portrait of a balding man with a prominent mustache, wearing a dark coat over a red shirt and white collar. The painting is on canvas with visible cracks and age-related damage. The background is a dark, textured brown. A watermark is present in the bottom right corner reading ""ЕТНОГРАФІЧНА КОЛЕКЦІЯ КРОВЕЦЬ krovets.com.ua""."
KYD1266,"This is a painting depicting a battle scene at sunset. Several figures on horseback are engaged in combat, with some on white and black horses. In the background, a castle is visible on a hill. The sky is filled with clouds in shades of orange, red, and grey. At the bottom of the painting, there is text in Cyrillic script: ""Бій і Богуна з Яремою Вишневецьким"". The painting is signed ""Ігор"" and dated ""1987р."" in the bottom right corner. The artwork shows visible brushstrokes and some areas of wear."
KYD1267,"A painting depicting a chaotic battle scene at night, with numerous figures on horseback engaged in combat. The setting is a forested area with a stream, and the sky is dark with a large moon and clouds. The figures are dressed in colorful, traditional attire, some with swords and bows. In the foreground, a rider is crossing a stream. The painting has visible text at the bottom: ""Тарасова ніч. 1630р. 22 травня"" and a signature in the lower right corner. The artwork shows signs of wear and tear, including a black crack in the lower right corner."
KYD1679,"This is a wooden icon depicting the Virgin Mary and the infant Jesus. Mary is shown wearing a red veil and a red robe, with a golden halo. She is holding the child, who is dressed in a white tunic and a dark cloak, also with a golden halo. The background is decorated with floral patterns in red, green, and white. The icon shows visible wood grain and some paint damage. There is text in Cyrillic at the bottom right, ""ЕТНОГРАФІЧНА КОЛЕКЦІЯ КРОВЕЦЬ""."
KYD1680,"This is a damaged, painted religious icon depicting the Virgin Mary holding the infant Jesus. She is shown in a dark, hooded garment with a red robe, and the child is in a light-colored garment. Both figures have halos. The background is a dark red with a golden arch above the figures. The icon is framed by a dark border with red drapery on the sides. There is visible damage, including cracks and paint loss, particularly on the figures and the background. The image has a watermark at the bottom that reads ""ЕТНОГРАФІЧНА КОЛЕКЦІЯ КРОВЕЦЬ"" with a geometric symbol."
KYD1681,"This is a painted icon of Jesus Christ, likely from the 19th century. He is depicted with long dark hair and a halo, wearing a black robe over a red garment. He holds a large, round, wooden object, possibly a drum or a bowl, and raises his right hand in a gesture. The background is a red curtain with green drapery on the sides. The icon is in poor condition with visible cracks and paint damage. There is text at the bottom right: ""ЕТНОГРАФІЧНА КОЛЕКЦІЯ КРОВЕЦЬ""."
KYD1682,"This is a damaged, old religious icon depicting a woman with a halo, likely a saint, wearing a red robe with gold trim and a dark inner garment. She has her hands clasped in prayer. To her right, a crucifix is visible. The background is dark green, and the icon has a thick, worn red border. The image shows visible paint cracking and peeling. Text at the bottom reads ""ЕТНОГРАФИЧНА КОЛЕКЦІЯ КРОВЕЦЬ"" (Ethnographic Collection Krovcev)."
KYD1683,"This is a damaged, aged religious icon depicting the Virgin Mary holding the infant Jesus. The icon is painted on a dark, weathered wooden surface with visible cracks and peeling paint. Mary wears a red veil and a dark blue garment, with a gold crown and a star on her head. She holds a small child, who is dressed in white and gold. The background is dark and textured. There is text at the top and a watermark at the bottom right that reads ""ЕТНОГРАФІЧНА КОЛЕКЦІЯ КРОВЕЦЬ"". The icon shows signs of significant age and deterioration."
KYD1684,"This is a damaged, aged painting depicting a reclining figure, likely a saint, with a halo. The figure is on a dark surface, possibly a bed, with a skull and a red cloth nearby. In the background, there is a red curtain, a rooster, and a cross. A vase with flowers is on the left. The painting is in poor condition with visible cracks and dark spots. There is text in the bottom right corner: ""ЕТНОГРАФІЧНА КОЛЕКЦІЯ КРОВЕЦЬ""."
KYD1685,"This is a painted wooden icon depicting the Virgin Mary holding the infant Jesus, with two men kneeling before her. The Virgin wears a red robe with a gold halo and a crown, and the infant Jesus is dressed in a white and blue garment. The two men are dressed in dark robes with red trim. The background is dark red with decorative elements. The icon is visibly damaged with cracks and holes. There is text in the bottom right corner that reads ""ЕТНОГРАФИЧНА КОЛЕКЦІЯ КРОВЕЦЬ""."
KYD1686,"A close-up of a wooden object with vertical ridges, likely a traditional tool such as a washboard or a wooden tool. The wood has a dark, weathered appearance with visible grain and some discoloration. The surface is textured with deep grooves running vertically. There is no visible text or other objects in the image. The object appears to be made of wood and is in a state of use, showing signs of wear and age."
KYD1687,"A damaged, aged religious icon depicting a bearded man with a halo, likely Jesus Christ, in a seated pose. He wears a red garment over a dark robe and holds a small cross. His right hand is raised in a gesture. The background is dark red with gold ornamental borders. The icon shows significant paint cracking and peeling. Text at the bottom reads ""ЕТНОГРАФІЧНА КОЛЕКЦІЯ КРОВЕЦЬ""."
KYD1688,"This is a damaged, aged religious painting depicting the Virgin Mary holding the infant Jesus. She is shown with a dark veil and red garment, and the child is dressed in white. Both figures have golden halos. The image is set against a dark red background with ornate golden borders. The painting is visibly cracked and worn, with visible damage to the surface. There is text at the bottom right that reads ""ЕТНОГРАФІЧНА КОЛЕКЦІЯ КРОВЕЦЬ"" (Ethnographic Collection Krovcev)."
KYD1689,"This is a damaged, aged icon of the Virgin Mary holding the infant Jesus. The Virgin wears a red veil and robe, and the child is dressed in green and yellow. The icon shows visible signs of age and damage, including cracks, peeling paint, and holes in the surface. The background is a gold-leafed, textured surface. There is text in Cyrillic script at the bottom right, which reads ""ЕТНОГРАФІЧНА КОЛЕКЦІЯ КРОВЕЦЬ""."
KYD1690,"This is a damaged, two-part wooden icon depicting the Virgin Mary holding the infant Jesus. The Virgin is shown with a golden halo and a red and green robe, while the child has a simple halo and a striped garment. The background is dark with floral motifs. The icon is visibly cracked and has numerous holes and paint damage. A watermark at the bottom right reads ""ЕТНОГРАФІЧНА КОЛЕКЦІЯ КРОВЕЦЬ""."
KYD1691,"This is a damaged, aged icon of the Virgin Mary holding the infant Jesus. The Virgin wears a red robe with gold trim and a golden halo, and the child is dressed in a green garment. The icon is painted on a dark, weathered surface with visible cracks and peeling paint. In the upper left, faint Greek letters are visible. A watermark at the bottom right reads ""ЕТНОГРАФИЧНА КОЛЕКЦІЯ КРОВЕЦЬ""."
KYD1692,"A painted wooden icon depicting a figure in armor and a red cape riding a horse, with a red dragon at the bottom. The figure is holding a sword and has a halo. The background is dark with yellow stars. The painting is on a wooden surface with visible grain and cracks. There is text in Cyrillic at the top and bottom. The bottom text reads ""ЕТНОГРАФІЧНА КОЛЕКЦІЯ КРОВЕЦЬ""."
KYD1693,"This is a painted wooden icon depicting the Virgin Mary holding the infant Jesus. Mary wears a red veil and a red robe, with a gold halo behind her. The infant Jesus is dressed in a white tunic and a dark cloak, also with a halo. The background is a dark red with floral patterns and gold accents. The icon shows visible signs of age and damage, including cracks and paint loss. There is text in Cyrillic script at the bottom right, which reads ""ЕТНОГРАФИЧНА КОЛЕКЦИЯ КРОВЕЦЬ""."
KYD1694,"A religious icon depicting a saint on horseback, holding a staff and a red cloth, with a halo above his head. The saint is riding a horse that is attacking a green dragon. In the background, a small figure stands on a rocky outcrop. The image has a dark background and a red border. There is text at the top and bottom of the image. The bottom text reads ""ЕТНОГРАФІЧНА КОЛЕКЦІЯ КРОВЕЦЬ"". The image shows visible damage, including cracks and peeling paint."
KYD1695,"This is a damaged, aged religious painting depicting the Virgin Mary holding the infant Jesus. The Virgin is shown in a dark blue or black veil, with a yellow garment, and the child is in a light-colored robe. The background is a dark red with black decorative elements. The painting is on a wooden surface with visible cracks and paint damage. There is text in the lower right corner: ""ЕТНОГРАФІЧНА КОЛЕКЦІЯ КРОВЕЦЬ""."
KYD1696,"A painted icon of a crowned female figure, likely a saint, holding a chalice in her right hand and a sword in her left. She wears a green robe with gold trim and a dark cloak. A green halo with gold dots surrounds her head. The background is a dark red, textured surface with small holes. The image shows signs of age and damage, including cracks and paint loss. Text at the bottom right reads ""ЕТНОГРАФІЧНА КОЛЕКЦІЯ КРОВЕЦЬ""."
KYD1697,"This is a damaged, painted icon of the Virgin Mary holding the infant Jesus. She wears a red veil and a red robe with gold trim, and the child is dressed in white and green. Both figures have halos. The background is dark with painted pinecones. The icon is on a wooden surface with visible holes and cracks. There is text in Cyrillic at the bottom right: ""ЕТНОГРАФІЧНА КОЛЕКЦІЯ КРОВЕЦЬ""."
KYD1698,"This is a damaged, wooden icon of a female figure, likely a saint, with a golden halo. She wears a crown and a brown robe with a gold necklace. She holds a golden chalice in her right hand. The background is dark blue. The icon shows visible cracks and peeling paint. At the top, there is partially visible text in Cyrillic script. A watermark at the bottom reads ""ЕТНОГРАФИЧНА КОЛЕКЦІЯ КРОВЕЦЬ""."
KYD1699,"This is a damaged, aged religious icon depicting a woman with dark hair, wearing a crown and a robe, holding a chalice. She is shown in a frontal pose against a dark, textured background. The icon has visible cracks and peeling paint, particularly on the right side. In the upper right corner, there is text in Cyrillic script. A watermark at the bottom reads ""ЕТНОГРАФІЧНА КОЛЕКЦІЯ КРОВЕЦЬ""."
KYD1700,"A weathered, painted icon of a bearded man in a crown, likely a religious figure. He wears a light-colored robe and holds a small object in his right hand. The background is a mottled, aged surface with visible cracks and rust spots. The image is in a style typical of Eastern Orthodox icons. Text at the bottom reads ""ЕТНОГРАФІЧНА КОЛЕКЦІЯ КРОВЕЦЬ"" (Ethnographic Collection Krovcev)."
KYD1701,"This is a damaged, weathered wooden icon depicting two figures. On the left is a bearded man in red and gold vestments with a mitre, holding a book. On the right is a woman in red robes holding a child. Both figures have golden halos. The background is blue with visible cracks. The text ""НИКОЛАЙ ЛИР"" is written above the figures. A watermark ""ЕТНОГРАФІЧНА КОЛЕКЦІЯ КРОВЕЦЬ"" is in the bottom right corner. The icon shows significant paint cracking and peeling."
KYD1702,"This is a damaged, painted wooden icon depicting three figures. On the left is a woman in a red head covering, likely the Virgin Mary, with a halo. In the center is a young child, possibly Jesus, also with a halo. On the right is an older man with a long white beard and hair, likely Saint John the Baptist, raising his right hand in a gesture. The background is dark blue with red script. The icon is in poor condition with visible cracks and paint damage. A watermark in the bottom right corner reads ""ЕТНОГРАФИЧНА КОЛЕКЦИЯ КРОВЕЦЬ""."
KYD1703,"This is a damaged, split wooden icon depicting the Virgin Mary holding the infant Jesus. Mary wears a red robe with a green veil and a gold halo, while the child is in a white garment with a yellow sash. Both figures have halos. The background is ornate with gold and green patterns. A vertical crack runs down the center of the icon. The image is in a traditional Orthodox style. The text ""ЕТНОГРАФИЧНА КОЛЕКЦІЯ КРОВЕЦЬ"" is visible in the bottom right corner."
KYD1704,"This is a damaged, two-part wooden icon depicting the Virgin Mary holding the infant Jesus. Mary wears a red robe with gold trim and a green veil, and has a golden halo. The child is dressed in white and holds a small object. Both figures have golden halos. The background is dark with painted pomegranates and leaves. The icon is split down the middle by a vertical crack. The bottom right corner has a watermark: ""ЕТНОГРАФИЧНА КОЛЕКЦІЯ КРОВЕЦЬ""."
KYD1705,"This is a damaged, two-part wooden icon depicting a religious scene. On the left, a figure in a green robe, likely Jesus, holds a cross with the inscription ""Iesu"" and ""Ave"" visible. In the center, a young person in a red robe and yellow collar is being crowned by a figure in a red robe and green cloak. To the right, an older man with a white beard, likely a saint, holds a staff. Above them, a dove flies over a golden pyramid. The icon shows visible cracks and paint damage. Text at the bottom reads ""ЕТНОГРАФІЧНА КОЛЕКЦІЯ КРОВЕЦЬ""."
KYD1706,"A painting of a female figure on a white horse, holding a spear. The figure wears a red cloak and a helmet, and the horse is adorned with a decorative bridle. The background is dark with streaks of red paint. The painting is damaged with vertical red paint streaks. Text at the bottom reads ""ЕТНОГРАФИЧНА КОЛЕКЦІЯ КРОВЕЦЬ""."
KYD1707,"This is a wooden icon depicting a figure, likely Jesus Christ, with a halo. The figure has long dark hair and is wearing a red robe with gold trim over a blue garment. The figure is holding a cross with a crucified figure on it. The background is orange with black floral patterns. There is a vertical crack down the center of the icon. The bottom right corner has text in Cyrillic: ""ЕТНОГРАФІЧНА КОЛЕКЦІЯ КРОВЕЦЬ"". The icon shows signs of age and damage, including peeling paint and cracks."
